X,Y
12.42,0.3182824938
12.43,0.3146721299
12.44,0.3110619904
12.45,0.3074531121
12.46,0.3038465151
12.47,0.3002432033
12.48,0.2966441637
12.49,0.293050366
12.5,0.2894627628
12.51,0.2858822886
12.52,0.2823098604
12.53,0.278746377
12.54,0.2751927188
12.55,0.2716497477
12.56,0.2681183071
12.57,0.2645992213
12.58,0.261093296
12.59,0.2576013174
12.6,0.254124053
12.61,0.2506622507
12.62,0.2472166392
12.63,0.2437879278
12.64,0.2403768063
12.65,0.2369839451
12.66,0.2336099951
12.67,0.2302555877
12.68,0.2269213349
12.69,0.2236078292
12.7,0.2203156438
12.71,0.2170453325
12.72,0.2137974297
12.73,0.2105724508
12.74,0.207370892
12.75,0.2041932306
12.76,0.2010399247
12.77,0.197911414
12.78,0.1948081193
12.79,0.1917304431
12.8,0.1886787694
12.81,0.1856534641
12.82,0.182654875
12.83,0.1796833321
12.84,0.176739148
12.85,0.1738226174
12.86,0.1709340182
12.87,0.168073611
12.88,0.1652416397
12.89,0.1624383317
12.9,0.1596638977
12.91,0.1569185327
12.92,0.1542024156
12.93,0.1515157098
12.94,0.1488585632
12.95,0.1462311086
12.96,0.1436334641
12.97,0.141065733
12.98,0.1385280045
12.99,0.1360203537
13,0.1335428417
13.01,0.1310955164
13.02,0.1286784124
13.03,0.1262915514
13.04,0.1239349424
13.05,0.121608582
13.06,0.1193124551
13.07,0.1170465342
13.08,0.114810781
13.09,0.1126051454
13.1,0.1104295669
13.11,0.108283974
13.12,0.1061682851
13.13,0.1040824086
13.14,0.102026243
13.15,0.09999967745
13.16,0.09800259192
13.17,0.0960348575
13.18,0.09409633669
13.19,0.0921868837
13.2,0.0903063447
13.21,0.08845455811
13.22,0.0866313549
13.23,0.08483655883
13.24,0.08306998674
13.25,0.08133144885
13.26,0.07962074896
13.27,0.07793768477
13.28,0.07628204812
13.29,0.07465362527
13.3,0.07305219711
13.31,0.07147753947
13.32,0.0699294233
13.33,0.06840761498
13.34,0.06691187652
13.35,0.06544196583
13.36,0.06399763691
13.37,0.06257864012
13.38,0.06118472238
13.39,0.0598156274
13.4,0.0584710959
13.41,0.05715086583
13.42,0.05585467256
13.43,0.0545822491
13.44,0.0533333263
13.45,0.05210763304
13.46,0.05090489642
13.47,0.04972484196
13.48,0.04856719377
13.49,0.04743167475
13.5,0.04631800673
13.51,0.04522591068
13.52,0.04415510684
13.53,0.04310531492
13.54,0.0420762542
13.55,0.04106764376
13.56,0.04007920256
13.57,0.03911064963
13.58,0.03816170417
13.59,0.03723208573
13.6,0.0363215143
13.61,0.03542971048
13.62,0.03455639556
13.63,0.03370129167
13.64,0.03286412187
13.65,0.03204461029
13.66,0.03124248222
13.67,0.03045746421
13.68,0.02968928417
13.69,0.02893767149
13.7,0.02820235708
13.71,0.02748307351
13.72,0.02677955506
13.73,0.02609153783
13.74,0.02541875978
13.75,0.02476096082
13.76,0.0241178829
13.77,0.02348927005
13.78,0.02287486845
13.79,0.02227442648
13.8,0.0216876948
13.81,0.02111442638
13.82,0.02055437658
13.83,0.02000730315
13.84,0.01947296631
13.85,0.0189511288
13.86,0.01844155587
13.87,0.01794401537
13.88,0.01745827774
13.89,0.01698411608
13.9,0.01652130614
13.91,0.01606962635
13.92,0.0156288579
13.93,0.01519878465
13.94,0.01477919327
13.95,0.01436987316
13.96,0.01397061652
13.97,0.01358121834
13.98,0.0132014764
13.99,0.0128311913
14,0.01247016646
14.01,0.0121182081
14.02,0.01177512528
14.03,0.01144072986
14.04,0.01111483653
14.05,0.0107972628
14.06,0.01048782897
